,key,kernel,graph,threads,sockets,nodes,edges,degree,instructions,cycles,L1-dcache-loads,L1-dcache-stores,l2-trans.demand-data-rd,l2-trans.rfo,l2-trans.l1d-wb,l2-trans.l2-wb,offcore-response.demand-data-rd.llc-hit.any-response,offcore-response.demand-data-rd.llc-miss.local-dram,offcore-response.demand-data-rd.llc-miss.remote-dram,cores,l1d-read-accesses,l1d-write-accesses,l2-read-accesses,l2-write-accesses,l3-read-accesses,l3-write-accesses,ldram-read-accesses,rdram-read-accesses,l1d-read-accesses-per1kinstr,l1d-write-accesses-per1kinstr,l2-read-accesses-per1kinstr,l2-write-accesses-per1kinstr,l3-read-accesses-per1kinstr,l3-write-accesses-per1kinstr,ldram-read-accesses-per1kinstr,rdram-read-accesses-per1kinstr,l1d-read-miss-rate,l1d-write-miss-rate,l2-read-miss-rate,l2-write-miss-rate,l3-read-miss-rate,l1d-read-bw,l1d-write-bw,l2-read-bw,l2-write-bw,l3-read-bw,l3-write-bw,ldram-read-bw,rdram-read-bw,ipc,avg-exec-time,energy-pkg,energy-cores,energy-uncore,pct-energy-cores,pct-energy-uncore,power-pkg,power-cores,power-uncore,millionTEPS/W
1952,tc-kron-g20-k4-t1-1s-1tpc-nh,tc,kron-g20-k4,1.0,1.0,1048575.0,4087377.0,3.0,15973803784.5,10739086188.0,1957704996.6,15943685.0,85703697.7,847559.6,1014710.2,212083.5,31043909.6,3696890.1,825.0,1.0,1957704996.6,15943685.0,86551257.3,1014710.2,34741624.7,212083.5,3696890.1,825.0,122.55722068097796,0.9981144562298455,5.418324806373603,0.06352339176495343,2.174912274115138,0.013276958221524315,0.23143418067059493,5.164709807494929e-05,4.421057177421331,6.364398076662169,40.13990970803514,20.900422679136174,10.642260019959235,19.25394723489179,0.15679847171967407,1.70246558484304,0.01996043036591292,0.6833889938938329,0.004172045080988933,0.07267461718953047,1.6228633524583638e-05,1.487617857299081,3.2569363277599996,274.125,185.656,88.46900000000001,67.47351632849154,32.52648367150846,84.19283907274894,57.07377279691697,27.119066275831983,0.015037283606234639
1964,tc-kron-g20-k4-t2-1s-2tpc-fh,tc,kron-g20-k4,2.0,1.0,1048575.0,4087377.0,3.0,16955440019.3,12031129781.3,2236556573.1,128482503.1,93460310.0,4096079.0,5407026.9,2820988.3,36091962.8,4366358.1,111677.0,1.0,2236556573.1,128482503.1,97556389.0,5407026.9,40569997.9,2820988.3,4366358.1,111677.0,131.90706981061072,7.577408306171923,5.753703446338339,0.31889663531636747,2.3927183703045776,0.16638296906432065,0.25751609731083824,0.006586530748302284,4.361998519387834,4.21124979660174,41.58647424818002,52.149162426611134,11.035562524941634,44.47252183906319,2.554900698554504,3.8799353740542584,0.21513993881496876,1.6134984062261808,0.11223528903631266,0.17364976949857475,0.004441100523516458,1.40951850743309,1.6096693333,114.024,71.798,42.226,62.96417060841566,37.03582939158435,70.84094302066973,44.605316260195224,26.235626760474485,0.03585955676030114
64,bc-kron-g20-k8-t1-1s-1tpc-nh,bc,kron-g20-k8,1.0,1.0,1048575.0,8042557.0,7.0,593696010.9,1217568842.0,167105267.2,39515014.1,37214277.1,5255282.5,6711124.0,5013292.4,22960905.5,4398829.2,1567.2,1.0,167105267.2,39515014.1,42469559.6,6711124.0,27361301.9,5013292.4,4398829.2,1567.2,281.4789349294623,66.4685174911435,71.60127649596875,11.315519840544823,46.12668148909379,8.452401681594953,7.413336534206382,0.002619966073222617,25.43642200045146,17.078637517993123,64.4257361625445,74.70412789919816,16.08479186787538,11.19005502247963,2.643933257708251,5.689881282853799,0.8990568215048891,3.6667263458634345,0.6716659314948907,0.5886683701930464,0.00021163091854501916,0.48813919769470526,0.48144568718,38.007999999999996,27.362000000000002,10.645999999999997,71.4415942333928,28.558405766607184,79.39087272346713,57.07348863198865,22.31738409147848,0.2126424379683826
76,bc-kron-g20-k8-t2-1s-2tpc-fh,bc,kron-g20-k8,2.0,1.0,1048575.0,8042557.0,7.0,3010833907.3,3388902361.9,1009337962.8,290951706.4,42603626.5,8800004.6,10587001.9,7055677.9,25936006.0,4844437.4,142286.7,1.0,1009337962.8,290951706.4,51403631.1,10587001.9,30922730.1,7055677.9,4844437.4,142286.7,335.1843872319399,96.60114392965293,17.135483121548,3.5294787654039284,10.306982924635701,2.3511849776763545,1.6141042409556037,0.0474525297345814,5.11326076469973,3.6552193877824366,60.18835206802343,66.67195868731244,16.128138458570035,87.71376177582923,25.282686024713033,8.943990932818144,1.8412933657534125,5.377125092071237,1.2269767452579043,0.8422383536281742,0.02481351700877182,0.8969519066018643,0.37165329217999993,22.403,13.035999999999998,9.367,59.33883524137411,40.66116475862588,59.908497433808215,35.01476744113212,24.89372999267609,0.39649013270540506
448,bfs-kron-g20-k8-t1-1s-1tpc-nh,bfs,kron-g20-k8,1.0,1.0,1048575.0,8042557.0,7.0,137754891.3,237460659.1,45308745.6,28746791.3,3588924.8,1461960.8,1836299.3,429878.9,1202082.6,742431.0,746.5,1.0,45308745.6,28746791.3,5050885.6,1836299.3,1945260.1,429878.9,742431.0,746.5,328.9083843805658,208.68118547433596,36.665866092349475,13.330256561613933,14.120704039515307,3.120585391227203,5.389532762167418,0.005418997901884668,11.147750603223145,6.387842020280511,38.513603348347,23.410384590572583,38.31564992017636,17.840403118731217,11.319081590002893,3.977640613673226,1.446100792604988,1.5318504516732063,0.33851692357711954,0.5846403413188461,0.000587626452340867,0.5802262984497953,0.0812872599,6.703000000000001,4.628,2.0749999999999997,68.76780347336717,31.232196526632833,82.50959424049142,56.982224855641995,25.52736938484943,1.2098018439473919
460,bfs-kron-g20-k8-t2-1s-2tpc-fh,bfs,kron-g20-k8,2.0,1.0,1048575.0,8042557.0,7.0,340910949.4,652302215.7,99202644.5,46508351.4,4770760.5,1794756.2,2272950.1,827940.5,1577185.1,841783.6,8859.0,1.0,99202644.5,46508351.4,6565516.7,2272950.1,2427827.7,827940.5,841783.6,8859.0,294.8614634515976,147.41581338967427,22.87903287898173,7.884758109497932,8.591537107183806,2.7974731819201692,2.9627379496992097,0.031052159518529972,7.720167540863341,5.1880901042902225,37.69351544105812,35.55961736555126,35.00010141275055,45.71569172511306,21.450365294731803,6.055895829409087,2.0970858323660333,2.2431011862822783,0.7616914762631815,0.7780659907713077,0.008180994705975126,0.5360038567645892,0.06933301032,4.47,2.6610000000000005,1.809,59.48894502110795,40.51105497889205,64.49643190759257,38.400283260878325,26.096148646714234,1.8030690038424262
832,cc-kron-g20-k8-t1-1s-1tpc-nh,cc,kron-g20-k8,1.0,1.0,1048575.0,8042557.0,7.0,187090787.1,349893330.4,57936771.3,27595725.0,4828848.6,1430032.9,1862885.9,524008.5,1754397.9,1117212.3,907.5,1.0,57936771.3,27595725.0,6258881.5,1862885.9,2872517.7,524008.5,1117212.3,907.5,309.67187196400135,147.49950297951423,33.45373404146121,9.95714223615889,15.353461426090117,2.800839679830742,5.971358916255474,0.0048505435962700166,10.80296456824438,6.750632643470119,45.895169430346876,28.128927006908174,38.92140000188376,15.697515291742722,7.476889667395723,3.3915104716815883,1.0094630108575253,1.5565434460269443,0.28396413492058953,0.6053368587514292,0.0004916878604308626,0.5347242026034558,0.11815476398000002,7.540000000000001,4.493,3.0469999999999997,59.30705400455564,40.69294599544434,63.870260879400476,38.10614863085242,25.764112248548066,1.0708935737514322
844,cc-kron-g20-k8-t2-1s-2tpc-fh,cc,kron-g20-k8,2.0,1.0,1048575.0,8042557.0,7.0,471214245.1,777716696.3,145527515.2,56767024.1,6306452.7,2196898.6,2881746.4,937672.6,2478877.4,1249165.8,24034.5,1.0,145527515.2,56767024.1,8503351.3,2881746.4,3752077.7,937672.6,1249165.8,24034.5,308.89825080008393,122.8134781877819,19.710710449486044,6.723881538173471,8.631461773182682,2.173211146224628,2.8817932280674734,0.054836935995751304,6.396340231518144,5.377518816263171,44.40569628818863,32.84210155225911,33.94301451545859,47.538387322717554,18.530658044204767,5.534570220021271,1.8764889625321204,2.4403806202242118,0.6102853643821651,0.8123866107781943,0.015599975176375375,0.5993405304206141,0.09847774883999998,6.415000000000001,3.942,2.473,61.45912613673001,38.54087386326999,65.2066609920012,40.07545776515654,25.13120322684467,1.2548457491768894
1216,pr-kron-g20-k8-t1-1s-1tpc-nh,pr,kron-g20-k8,1.0,1.0,1048575.0,8042557.0,7.0,959423550.0,1934134852.6,342717788.9,45057857.4,154667324.0,1999390.2,3051940.0,1252566.7,103492313.2,9840016.2,1638.1,1.0,342717788.9,45057857.4,156666714.2,3051940.0,113333967.5,1252566.7,9840016.2,1638.1,357.213812518812,46.96238281699344,163.29400760667352,3.1810307665250415,118.12753206079599,1.3055171782106192,10.25635783812605,0.0017069292135098075,45.71338375300891,6.774064861025925,72.34102901470597,41.044927899023754,8.685055221444967,17.59562736826846,2.3134531781047896,16.08700269223657,0.3133973920683962,11.637603631601278,0.12862604622848256,1.0103675960089589,0.00016796487826707473,0.49606877095133745,0.6234396294400001,53.524,37.653999999999996,15.869999999999994,70.11460073730832,29.885399262691674,85.85163470391174,60.42298592260505,25.42864878130667,0.151640352158715
1228,pr-kron-g20-k8-t2-1s-2tpc-fh,pr,kron-g20-k8,2.0,1.0,1048575.0,8042557.0,7.0,2115764409.3,3406360522.4,661055727.9,169044029.5,164251311.7,7963269.9,9379526.4,4613311.8,107724086.9,10537396.3,247635.9,1.0,661055727.9,169044029.5,172214581.6,9379526.4,118509119.1,4613311.8,10537396.3,247635.9,312.5868945419503,79.92562245636645,81.54284337455816,4.440883093045741,56.108630446017095,2.1841178734632143,4.987580050304311,0.11650683619363691,26.0942067986118,5.563999406218393,68.81658060798398,49.188570401011475,9.101378397984814,60.98432960677809,15.569989078794752,31.763127092779342,1.729748567349861,21.857469046194,0.8512428096648451,1.9424985305321396,0.045841019438427916,0.6210195274644266,0.34730029335999996,26.582,17.532999999999998,9.049000000000001,65.95683982349817,34.043160176501814,76.59887525128427,50.51807344304446,26.08080180823982,0.3026566912293971
1600,sssp-kron-g20-k8-t1-1s-1tpc-nh,sssp,kron-g20-k8,1.0,1.0,1048575.0,8042557.0,7.0,487836352.1,954453208.7,190880879.6,68922185.6,30798296.1,3875356.2,6178971.5,2357885.8,18246156.0,4194618.8,1778.2,1.0,190880879.6,68922185.6,34673652.3,6178971.5,22442553.0,2357885.8,4194618.8,1778.2,391.28086819840337,141.2813767302015,71.07711123824225,12.666326571672105,46.0044807100858,4.833464352976651,8.598507467191927,0.003645149663722621,18.165186385881448,8.965404934576558,64.72533705440613,38.156986708444364,18.70223419392671,8.3790961152262,3.025789220701531,3.0413617797427728,0.5414068124474937,1.968988846299276,0.20652213513802992,0.36766002609202586,0.0001554063218874906,0.5111875267558733,0.73934437842,42.82000000000001,21.986999999999995,20.833000000000002,51.26503919893546,48.73496080106454,58.56151224393466,30.04501765240538,28.516494591529273,0.18861551805241858
1612,sssp-kron-g20-k8-t2-1s-2tpc-fh,sssp,kron-g20-k8,2.0,1.0,1048575.0,8042557.0,7.0,1272677516.5,2063890593.5,413420134.9,158306630.9,38464398.4,8347422.9,11496072.2,5303976.3,22199739.8,4873697.1,174912.1,1.0,413420134.9,158306630.9,46811821.3,11496072.2,27248349.0,5303976.3,4873697.1,174912.1,324.71444280546945,124.4511416822294,36.82910066645054,9.046429656437834,21.425928176300697,4.17387304720205,3.8307227412390965,0.13762985490358992,11.352367462539725,7.268364814348487,58.24019073990237,46.110002411484786,18.52783546717149,19.2038681767352,7.356319351037352,4.354698536332016,1.0697389533670216,2.5314864063618017,0.4935807475660751,0.45275218326193123,0.016379960720871577,0.6185893504746195,0.68955463634,40.075,21.335999999999995,18.738999999999997,53.249095951961785,46.75090404803822,58.2124140380707,30.97687181248191,27.23554222558879,0.20094522221603056
1984,tc-kron-g20-k8-t1-1s-1tpc-nh,tc,kron-g20-k8,1.0,1.0,1048575.0,8042557.0,7.0,56039434896.5,36767744699.9,6916517443.0,27857300.1,294841383.9,1416594.4,1757135.1,469840.1,62616756.1,15920151.1,2603.3,1.0,6916517443.0,27857300.1,296257978.3,1757135.1,78539510.5,469840.1,15920151.1,2603.3,123.42232658622547,0.49710166227848374,5.2865982953068436,0.03135533523890714,1.4015042757301857,0.008384101000243229,0.2840883386097556,4.6454717369734165e-05,4.283340353751713,6.307544611741868,26.510533365608694,26.70410192677471,20.273627833883175,21.391525450347434,0.0861533067223221,1.832527598308064,0.010867666540798673,0.4857968648714358,0.0029046999576632744,0.09849728054453305,1.6102669532235266e-05,1.5241643214121077,10.35086221344,772.296,499.41999999999996,272.876,64.55022826640592,35.44977173359409,74.67740679574526,48.334062801939595,26.34334399380566,0.01043272979198339
1996,tc-kron-g20-k8-t2-1s-2tpc-fh,tc,kron-g20-k8,2.0,1.0,1048575.0,8042557.0,7.0,61244976975.8,41927509464.5,8851636192.3,579399154.6,310975723.4,5871326.3,9831380.6,5831762.7,74467671.3,17972280.9,155958.0,1.0,8851636192.3,579399154.6,316847049.7,9831380.6,92595910.2,5831762.7,17972280.9,155958.0,144.52694391271103,9.460097978900802,5.173471161085032,0.16052904340950686,1.5119127339837648,0.0952246514449833,0.2934532068173723,0.002546929329071682,3.5796824254198514,1.6976377403226952,29.224298521456138,59.32370585673508,19.577949137453736,53.491574030521654,3.501746540217675,3.829765024477227,0.11883180243642018,1.119225852747021,0.0704958874321153,0.2172620013746483,0.0018854177109272944,1.4611451005874139,5.2965501681600005,389.683,245.842,143.84099999999998,63.120437888086926,36.879562111913074,73.51348044247153,46.38519519543016,27.12828524704136,0.020729270411105997
0,bc-kron-g20-k16-t1-1s-1tpc-nh,bc,kron-g20-k16,1.0,1.0,1048575.0,15699687.0,14.0,1175738263.1,2055527050.9,342871500.4,71047319.6,67384495.9,12394928.0,12967738.2,10086357.7,47192470.6,6288378.5,1798.5,1.0,342871500.4,71047319.6,79779423.9,12967738.2,53482647.6,10086357.7,6288378.5,1798.5,291.6434962872212,60.34534437319136,67.9115087343333,11.039427256884322,45.52872193161692,8.586008431147956,5.352290880385619,0.0015245230951654322,23.28421391373858,18.358749361866664,67.04014477530437,77.78362864839055,11.764925916886108,13.54799361187629,2.8071031301196756,6.304258455474391,1.0246077619512544,4.2264806391975815,0.7970112700092844,0.49650812674510847,0.00014124540619934076,0.5719028694033992,0.8180761430999999,58.342,35.729,22.613,61.69152998150802,38.30847001849198,71.686235582629,44.19956852468347,27.486667057945517,0.2771224674874828
12,bc-kron-g20-k16-t2-1s-2tpc-fh,bc,kron-g20-k16,2.0,1.0,1048575.0,15699687.0,14.0,2825662760.5,3930209974.7,794970040.3,248908980.3,73785256.1,16072046.7,17316959.7,12210352.9,50778352.7,6724543.5,147197.0,1.0,794970040.3,248908980.3,89857302.8,17316959.7,57650093.2,12210352.9,6724543.5,147197.0,285.00172833701845,87.94704170457815,32.71335253129373,6.305006355274442,20.99222989412133,4.4522679972827826,2.4514389153508716,0.05380417276295311,11.422998159382924,7.183048794420758,64.17227517190011,70.51754951370056,11.919183662048315,40.23647986540935,12.688547698603733,9.05134979091432,1.7454834420609173,5.803189436598258,1.22993054191336,0.6767550640898373,0.015183375254587184,0.7139802671381504,0.64425192046,39.20899999999999,22.702,16.506999999999998,59.37009171648704,40.62990828351296,60.01809637311517,34.97942053306254,25.038675840052633,0.4495787919192515
384,bfs-kron-g20-k16-t1-1s-1tpc-nh,bfs,kron-g20-k16,1.0,1.0,1048575.0,15699687.0,14.0,199929990.4,376850836.7,69068249.1,48110297.6,6107181.5,2476605.7,2838809.2,537486.3,1533404.9,1176866.8,741.8,1.0,69068249.1,48110297.6,8583787.2,2838809.2,2711013.5,537486.3,1176866.8,741.8,345.462091710895,240.637079722727,42.93437108898019,14.199132186119538,13.560960948080742,2.6884213664524044,5.88658073678143,0.003710305338314088,12.428095091413558,5.900631976045899,31.57938343768518,18.933457141199348,43.51225689408547,17.565039797224,12.235172003498834,4.366062605832374,1.4439195898959925,1.379259984310727,0.27337164690497806,0.5982440095188586,0.0003772433289660638,0.530575647124204,0.12586151998,10.26,7.403999999999999,2.8560000000000003,72.71173555722704,27.288264442772963,81.5215272652662,58.83095183720334,22.690575428062868,1.5623893159160862
396,bfs-kron-g20-k16-t2-1s-2tpc-fh,bfs,kron-g20-k16,2.0,1.0,1048575.0,15699687.0,14.0,820436818.7,1118472979.2,264169320.8,113199559.9,8381145.6,3985821.1,4579894.3,1430668.2,2487827.7,1481628.7,106637.9,1.0,264169320.8,113199559.9,12366966.7,4579894.3,4076094.3,1430668.2,1481628.7,106637.9,321.3975953635372,139.10523207575403,15.687462669646091,5.822493446536882,5.140382481353297,1.8212061173456884,1.8680671438181915,0.13159863018290308,4.897546140403406,4.158439744077857,33.11350514750637,30.96928718315645,39.008632840351275,78.40203649015803,33.56911891105572,7.330943244570419,2.7129982470333927,2.4185863121967923,0.8468846150508164,0.8789100593545511,0.06318205797671458,0.7348188448500903,0.10798182398,6.92,4.170999999999999,2.7489999999999997,60.263795275415234,39.73620472458476,64.13887057520114,38.66832159715338,25.470548978047766,2.273058352321247
